population,weight,se,target
Italy_PianSultano_BA.SG,0.5168752785221384,0.026720519256871616,Jew_Ashkenazi.HO
Tajikistan_Ksirov_Kushan,0.10982302214493617,0.02987723160076671,Jew_Ashkenazi.HO
Saudi.HO,0.3733016993329254,0.03674922527922146,Jew_Ashkenazi.HO
Italy_PianSultano_BA.SG,0.30148441667525433,0.02886791900568356,Jew_Moroccan.HO
Saudi.HO,0.6985155833247456,0.028867919005683522,Jew_Moroccan.HO
Lebanon_MBA.SG,0.45590367922986985,0.053313424953562616,Jew_Moroccan.HO_model2
CanaryIslands_Guanche.SG,0.178804487867282,0.02474358513130143,Jew_Moroccan.HO_model2
Italy_PianSultano_BA.SG,0.3652918329028482,0.037451436756937594,Jew_Moroccan.HO_model2
CanaryIslands_Guanche.SG,0.031517711589210747,0.036749318274888025,Jew_Moroccan.HO_model3
Italy_PianSultano_BA.SG,0.32278496469847967,0.040228121920279636,Jew_Moroccan.HO_model3
Saudi.HO,0.6456973237123097,0.0710477642960398,Jew_Moroccan.HO_model3
Lebanon_MBA.SG,0.39357984018321385,0.07810737090567478,Jew_Moroccan.HO_model4
CanaryIslands_Guanche.SG,0.1893882920521834,0.02624340667631689,Jew_Moroccan.HO_model4
Italy_PianSultano_BA.SG,0.37728240092610427,0.03887114245967129,Jew_Moroccan.HO_model4
Tajikistan_Ksirov_Kushan,0.039749466838498344,0.03411110700170306,Jew_Moroccan.HO_model4
Italy_PianSultano_BA.SG,0.23680699515865847,0.028990952670035083,Jew_Tunisian.HO
Saudi.HO,0.7631930048413416,0.028990952670035045,Jew_Tunisian.HO
Lebanon_MBA.SG,0.4865077367473987,0.0519969578157718,Jew_Tunisian.HO_model2
CanaryIslands_Guanche.SG,0.1913865041823199,0.023039711657577792,Jew_Tunisian.HO_model2
Italy_PianSultano_BA.SG,0.32210575907028133,0.0377292694952701,Jew_Tunisian.HO_model2
CanaryIslands_Guanche.SG,0.026732295355529876,0.03410235961161295,Jew_Tunisian.HO_model3
Italy_PianSultano_BA.SG,0.25649736893924724,0.03861679497648806,Jew_Tunisian.HO_model3
Saudi.HO,0.716770335705223,0.06636108059188005,Jew_Tunisian.HO_model3
Italy_PianSultano_BA.SG,0.1906015491189436,0.02673407860701102,Jew_Libyan.HO
Saudi.HO,0.8093984508810564,0.026734078607011044,Jew_Libyan.HO
Lebanon_MBA.SG,0.46007573039522,0.04696562456488279,Jew_Libyan.HO_model2
CanaryIslands_Guanche.SG,0.23016840061392618,0.021986920295756437,Jew_Libyan.HO_model2
Italy_PianSultano_BA.SG,0.30975586899085383,0.03310626346332928,Jew_Libyan.HO_model2
CanaryIslands_Guanche.SG,0.08235893470210426,0.03241415751529793,Jew_Libyan.HO_model3
Italy_PianSultano_BA.SG,0.25623070885559013,0.03685812272436115,Jew_Libyan.HO_model3
Saudi.HO,0.6614103564423056,0.06408494446685904,Jew_Libyan.HO_model3
Lebanon_MBA.SG,0.4112616448349694,0.06778248883003983,Jew_Libyan.HO_model4
CanaryIslands_Guanche.SG,0.2394556222184277,0.02362245162798304,Jew_Libyan.HO_model4
Italy_PianSultano_BA.SG,0.31740580760071874,0.033511384796140235,Jew_Libyan.HO_model4
Tajikistan_Ksirov_Kushan,0.03187692534588416,0.031209460015106025,Jew_Libyan.HO_model4
Saudi.HO,1,1.1376698354596692e-13,Jew_Yemenite.HO
CanaryIslands_Guanche.SG,0.027264869932457733,0.024529494650390202,Jew_Yemenite.HO_model2
Saudi.HO,0.9727351300675422,0.02452949465039025,Jew_Yemenite.HO_model2
Lebanon_MBA.SG,0.6130319444268626,0.0519067333422717,Jew_Iranian.HO
Italy_PianSultano_BA.SG,0.1130274162483007,0.03437951675994157,Jew_Iranian.HO
Tajikistan_Ksirov_Kushan,0.27394063932483664,0.03389628856985382,Jew_Iranian.HO
Lebanon_MBA.SG,0.7389191776932655,0.051289197092698906,Jew_Iraqi.HO
Italy_PianSultano_BA.SG,0.1234402676058598,0.03286269061223364,Jew_Iraqi.HO
Tajikistan_Ksirov_Kushan,0.13764055470087475,0.034913612022753955,Jew_Iraqi.HO
Lebanon_MBA.SG,0.48928556739374574,0.054906224717607074,Jew_Georgian.HO
Italy_PianSultano_BA.SG,0.1858306645876417,0.036025391995206005,Jew_Georgian.HO
Tajikistan_Ksirov_Kushan,0.32488376801861263,0.03449359234843974,Jew_Georgian.HO
Tajikistan_Ksirov_Kushan,1,1.1376698354596692e-13,Jew_Cochin.HO
Italy_PianSultano_BA.SG,0.4355804277358109,0.026218916860919917,Jew_Turkish.HO
Saudi.HO,0.5644195722641892,0.026218916860919893,Jew_Turkish.HO
Lebanon_MBA.SG,0.45959650829530363,0.051011367156864273,Jew_Turkish.HO_model2
CanaryIslands_Guanche.SG,0.098139013363094,0.02226539525406948,Jew_Turkish.HO_model2
Italy_PianSultano_BA.SG,0.44226447834160243,0.0353878337707267,Jew_Turkish.HO_model2
Italy_PianSultano_BA.SG,0.42623554839375216,0.025561120501457632,Jew_Turkish.HO_model3
Tajikistan_Ksirov_Kushan,0.046491890452901946,0.02473280066159592,Jew_Turkish.HO_model3
Saudi.HO,0.527272561153346,0.03227273117936017,Jew_Turkish.HO_model3
Lebanon_MBA.SG,0.32821371882475175,0.06934087772052065,Jew_Turkish.HO_model4
CanaryIslands_Guanche.SG,0.12444746759900842,0.023089094476783402,Jew_Turkish.HO_model4
Italy_PianSultano_BA.SG,0.4665498290659784,0.03407392394272307,Jew_Turkish.HO_model4
Tajikistan_Ksirov_Kushan,0.08078898451026141,0.030473656546515307,Jew_Turkish.HO_model4
